qid	query	instru_desc	instru_narr
61134	führung und vertrauen	Validated scales and survey modules in German or with German translations used to measure leadership and trust: Mayer & Davis trust scales, McAllister affective/cognitive trust scale, LMX-7, scales for trust in management and leader integrity, and leadership questionnaires (e.g., MLQ) that include trust-related subscales.	Relevant instruments: instruments that explicitly assess trust in leaders or trust-relevant leader behaviors (Mayer & Davis, McAllister, LMX measures), German-language adaptations and manuals, leadership questionnaires (MLQ, authentic leadership scales) when linked to trust outcomes, and coding documentation for aggregated trust measures. Exclude instruments that measure only general social trust without leader referent or tools that assess unrelated concepts (e.g., tourist guiding surveys).
61312	führung	Measurement instruments and assessment tools for leadership: Multifactor Leadership Questionnaire (MLQ), Leader–Member Exchange (LMX) scales, Leadership Practices Inventory (LPI), 360-degree feedback instruments, situational judgment tests and leadership competency frameworks, including German translations/adaptations.	Relevant instruments: validated leadership questionnaires (MLQ, LPI, LMX-7), 360-degree feedback protocols, leadership development program evaluation tools, coding manuals and translation/adaptation documentation. Include psychometric properties and administration guidelines. Exclude instruments that do not measure leadership constructs or that are intended for unrelated tasks (e.g., tourist guide evaluations).
2541	gender role	Validated questionnaires and modules for measuring gender roles and attitudes: Attitudes Toward Women Scale (AWS), Bem Sex Role Inventory (BSRI), Gender Role Ideology scales, ISSP/ESS/WVS gender-role modules and coding guides.	Relevant instruments: survey modules and psychometric scales that assess gender-role beliefs and identities, their German-language adaptations, and codebooks with item wording and coding schemes. Include documentation on scoring, reliability and translations. Exclude instruments unrelated to gender norms (e.g., generic role-identity tools without gender focus).
3938	gender	Survey modules, questionnaires and coding guides for measuring gender and related constructs: two-step gender identity items, Gender Identity/Gender Minority measures, gender norms modules (ESS, ISSP items), and documentation for coding sex/gender in administrative data.	Relevant instruments: validated items and best-practice question wording (two-step method: sex assigned at birth + current gender), scales measuring gender norms and expression, and coding manuals addressing non-binary and transgender categories. Include guidelines on ethical collection of gender data and translation notes for different languages. Exclude instruments that conflate sex and gender without clear items or lack documentation on response options and coding.
61636	gender studies	Validated scales, survey modules, interview guides and coding schemes used to measure gender attitudes, roles, identities and related constructs.	Include: instruments such as Bem Sex Role Inventory, Gender Role Attitudes scales, gender ideology items, interview/observation guides for gender studies, coding schemes for qualitative gender analysis, and standardized modules (e.g., ISSP/ESS gender modules). Exclude: clinical diagnostic tools unrelated to social gender (e.g., endocrine assays), or tools focused solely on biological sex measurement without social/gender components.
62134	general self-efficacy	Measurement instruments and manuals for assessing general self‑efficacy, their translations, scoring rules and validation studies.	Include: General Self‑Efficacy Scale (Schwarzer & Jerusalem) and its validated language versions, psychometric papers, item lists, scoring instructions, administration guidelines, and short/long form variants. Exclude: instruments that measure only domain‑specific self‑efficacy (e.g., Academic Self‑Efficacy Scale) unless they include a general self‑efficacy component.
2575	generation y	Survey modules, questionnaires and analytic tools designed or commonly used to study generational cohorts, and methods for cohort assignment and age‑period‑cohort analysis.	Include: questionnaires with items on values, technology use, work preferences tailored to Millennials, codebooks that flag generational cohorts, and statistical tools/methods for cohort comparison (APC models). Exclude: tools unrelated to cohort identification or analyses that do not support cohort stratification.
1423	generelle selbstwirksamkeit	German instruments and translations for measuring general self‑efficacy, manuals, item lists and validation studies (e.g., Suche for 'Allgemeine Selbstwirksamkeitserwartung').	Include: German version of the General Self‑Efficacy Scale (Schwarzer & Jerusalem), translation/adaptation documentation, scoring instructions, normative data for German populations, and psychometric studies. Exclude: instruments that only measure domain‑specific Selbstwirksamkeit and lack a general component.
61544	geschlecht und geschlechterrollen	Validated scales, survey questions, interview guides and coding manuals used to measure gender roles, role attitudes and gendered behaviour.	Include: instruments like the Bem Sex Role Inventory, Attitudes Toward Women Scale, Gender Role Attitudes items found in ISSP/ESS, time‑use survey instruments, qualitative interview guides on gender socialization, and coding schemes for role content analysis. Exclude: biological measurement tools and instruments not addressing social role constructs.
61473	geschlechter rolle	Validated scales and survey modules used to assess gender roles, plus coding schemes and questionnaires relevant to role attitudes and behaviors.	Include instruments such as the Bem Sex Role Inventory (BSRI), Attitudes Toward Women Scale, Gender Role Attitudes items in ISSP/ESS, role conflict/strain scales, time-use instruments that allow computing division of labor, and translations/adaptations of these tools in German. Also include coding guides and questionnaire modules used in large surveys to capture gender-role data. Exclude clinical instruments unrelated to social role measurement and generic organizational job-role tools that do not address gender.
59288	geschlechterrollen	Survey modules, scales and qualitative protocols used to measure gender-role attitudes and stereotypes, and comparative coding schemes for cross-cultural research.	Include instruments like ISSP and ESS gender/family modules, Bem Sex Role Inventory and its adaptations, Attitudes Toward Women Scale, stereotype endorsement items, standardized time-use diaries, and interview guides for qualitative studies of gender norms. Exclude instruments that do not pertain to gender norms or role expectations.
4690	gesundheit	Validated health measurement instruments and tools: health surveys, clinical assessment instruments, questionnaires, and coding systems used in health research.	Include instruments such as SF-36/SF-12, EQ-5D, WHO health surveys, GHQ, standardized clinical assessment protocols, laboratory assay methods, and coding systems like ICD and ATC. Also include population health surveillance tools and measurement guides. Exclude instruments unrelated to health measurement (e.g. purely administrative business tools).
58542	gesundheit psychisch	Psychometric instruments and clinical tools for assessing mental health: screening questionnaires, diagnostic interviews, standardized clinical scales and service-use measurement instruments.	Include commonly used validated instruments such as PHQ-9, GAD-7, GHQ-12, BDI, HADS, WHO-5, MINI, SCID, and service-use questionnaires and PROMs for mental health. Also include coding schemes for psychiatric diagnoses (ICD-10/DSM) and assessment protocols used in clinical and epidemiological studies. Exclude tools not validated for mental health assessment or instruments intended solely for neurological testing without psychiatric relevance.
58545	gesundheit patienten	Instruments and tools for assessing patient health and experience: clinical outcome measures, PROMs, satisfaction surveys, clinical assessment protocols and registries.	Include tools such as PROMIS, EQ-5D, SF-36, disease-specific outcome scales, patient satisfaction instruments (e.g. HCAHPS where applicable), clinical case report forms, standardized follow-up protocols, and registries used to monitor patient outcomes. Exclude instruments not intended for patient assessment or administrative tools unrelated to patient health.
58585	gesundheit betrieb	Instruments and tools used for assessing and implementing workplace health programs, organizational risk assessments, and OSH management systems.	Include validated questionnaires and checklists for workplace health promotion and occupational safety (e.g., workplace health climate scales, organizational-level psychosocial risk assessment tools), implementation toolkits for enterprises, intervention manuals, company-level audit instruments, and employer survey instruments. Exclude clinical diagnostic instruments used only in medical settings, instruments solely measuring general population health unrelated to workplace, or tools designed exclusively for patient care.
58610	gesundheit im betrieb	Assessment instruments and implementation tools for measuring and improving health in workplace settings.	Include validated employee health questionnaires (e.g., job-content questionnaires, effort–reward imbalance scales, workplace stress inventories), ergonomic assessment tools, workplace risk assessment protocols, intervention toolkits used in companies, and monitoring instruments for occupational exposures. Exclude instruments intended only for clinical diagnosis outside occupational assessment or tools not applicable to workplace settings.
58700	gesundheit von beschäftigten	Survey instruments, clinical measures, and occupational assessment tools used to measure employee health and work-related exposures.	Include validated health questionnaires for working populations (e.g., GHQ, SF-12/36, WHO-5), scales for work stress and psychosocial risks, instruments for measuring absenteeism/presenteeism, occupational exposure measurement tools, and protocols for workplace health examinations. Exclude instruments intended for general population screening when not validated for employed subgroups, or tools unrelated to occupational health assessment.
58705	gesundheitliche beschwerden	Questionnaires and measurement tools for assessing health complaints and symptom burden.	Include validated symptom checklists and inventories (e.g., SCL-90 somatisation items, somatic symptom scales, standardized pain questionnaires), daily symptom diaries, sleep disturbance instruments, and occupational symptom assessment tools. Also include protocols for clinical evaluation of symptom complaints in occupational health. Exclude purely laboratory instruments that do not measure subjective complaints.
4600	gewalt	Measurement instruments and tools for assessing violence exposure, perpetration, and response, and for implementing prevention/intervention programs.	Include validated survey instruments and screening tools (e.g., Conflict Tactics Scale, WHO Violence Against Women instrument, juvenile delinquency/violence scales), incident reporting protocols, risk assessment tools, observational coding schemes for violent events, and program manuals for prevention/intervention (e.g., bystander training, domestic violence interventions). Exclude forensic lab methods unrelated to social measurement, instruments only for animal behavior, or tools that do not capture human-directed violence.
58858	gewalt jugend	Validated instruments and screening tools used to assess violence involving youth, prevention program measures, and standardized questionnaires for child/adolescent violence.	Include instruments such as the Juvenile Victimization Questionnaire (JVQ), Conflict Tactics Scales (CTS) adapted for adolescents, Olweus Bullying Questionnaire, Cyberbullying scales, Childhood Trauma Questionnaire (CTQ) for retrospective adolescent reports, school-based victimization modules, and standardized screening tools used by child protection services. Also include evaluation tools for youth violence prevention programs. Exclude adult-only violence instruments without youth validation and generic crime-record extraction protocols that lack measures specific to children or adolescents.
60151	global life satisfaction	Standard instruments and survey items used to assess life satisfaction and facilitate cross-national comparability.	Include validated instruments such as the Cantril ladder, the Satisfaction With Life Scale (SWLS), OECD's single life satisfaction item, and standardized questionnaire modules from World Values Survey, ESS, Gallup, and ISSP used for global comparability. Also include translation and harmonization protocols, anchoring vignettes and methods/tools for testing measurement invariance across cultures. Exclude ad hoc or unvalidated single items without comparability information and instruments intended only for clinical diagnostic use unrelated to life evaluation.
3148	health	Validated instruments and measurement tools commonly used in population health research and public health surveillance.	Include instruments such as SF-36/SF-12 (health-related quality of life), EQ-5D, PHQ-9, GAD-7, GHQ-12, AUDIT, standardized physical activity and dietary questionnaires, clinical measurement protocols for blood pressure/BMI, and survey modules from WHO STEPS, DHS, and national health interview surveys. Also include coding schemes for ICD diagnoses in administrative data and tools for health inequality measurement. Exclude highly specialized laboratory assay kits or clinical devices not used in population-level measurement.
383	home office	Survey modules, scales and measurement tools used to assess telework practices, remote work outcomes, and home-office ergonomics.	Include validated survey items and modules for measuring telework frequency and intensity, remote-work environment checklists, work–family conflict scales (e.g., Carlson et al. work–family conflict scale), remote-work productivity/self-efficacy measures, time-use diary instruments capturing work location, and ergonomic self-assessment checklists for home offices. Also include employer policy templates and evaluation tools for remote work programs. Exclude generic IT configuration guides or product-specific setup manuals unrelated to research measurement.
221	immigration	Standard instruments, questionnaires and coding schemes used in migration research, and tools for measuring integration and legal status.	Include survey modules and question batteries for migration (e.g., migrant background question sets used in EU surveys), language proficiency assessments, integration scales (social, economic, civic integration indices), legal-status coding schemes, and tools for harmonizing migration variables across datasets (e.g., harmonization guides for country of birth, citizenship, and year of arrival). Also include translations/translation protocols for migrant surveys and instruments for measuring xenophobia or attitudes toward immigrants. Exclude administrative IT systems unrelated to research use and instruments designed solely for immigration officers' operational use without research documentation.
52895	inequality	Questionnaires, survey modules, scales, measurement protocols, and software/tools used to collect or analyze inequality-related data and to compute distributional statistics and decomposition methods.	Include survey instruments that capture income, consumption, employment, education, health, and household characteristics; coding manuals; tools for measuring inequality (Gini calculators, decomposition routines, microsimulation models); and software packages and reproducible code for inequality analysis. Exclude instruments unrelated to distributional measurement (e.g., clinical instruments without socioeconomic variables) and tools that only visualize non-distributional data.
63271	information trust	Survey instruments, experimental protocols, coding schemes, annotation guidelines, and software/tools for measuring and analyzing trust in information and credibility assessments.	Include questionnaires and validated scales for media or source trust, experimental designs for credibility interventions, coding manuals for annotating trustworthiness of content, fact-checking frameworks, and analytical tools for sentiment/credibility detection. Exclude technical tools that only perform linguistic processing without relevance to trust measurement, unless paired with trust annotation protocols.
63273	information politik	Instruments and tools for studying information policy and politics: policy coding schemes, legal databases, FOI request templates, content censorship monitors, and analytical tools for mapping political information flows.	Include coding manuals and typologies for classifying information policies, structured templates for collecting FOI data, tools for monitoring and geolocating censorship or takedown events, and software for network analysis of political information dissemination. Exclude purely engineering tools for information systems administration that do not support political/policy research.
63264	informations- und kommunikationstechnologie	Survey instruments, measurement protocols, digital skills tests, usage diaries, and tools for measuring ICT infrastructure and digital engagement.	Include standardized questionnaires for ICT access and use (e.g., household ICT modules), validated digital literacy assessments, log collection protocols, website/app analytics frameworks for research, and geospatial tools for mapping connectivity. Exclude developer tools and software components intended solely for building ICT systems without measurement or research application.
5945	interesse für politik	Survey questions, modules, validated scales, and experimental protocols used to measure political interest and related constructs (attention, civic engagement).	Include standard questionnaire items and modules from election studies and international surveys that capture political interest, interview protocols, diary instruments for media attention, and experimental designs testing causal effects on interest. Exclude administrative tools or institutional records that do not directly measure individual political interest.
62692	interesse an führung	Questionnaires, scales and measurement tools that assess interest in leadership or aspiration to lead (e.g., leadership aspiration items, leadership motivation scales), as well as structured interview protocols and vignette measures that elicit willingness to assume leadership.	Include validated instruments or bespoke survey items that directly measure interest in leadership, promotion intent, or leadership career goals. Include experimental choice tasks and vignettes designed to elicit leadership preference. Exclude tools that measure general leadership ability, leader behavior, or organizational leadership climate when they do not measure individual interest or aspiration to lead.
15911	motivation in der arbeit 	Measurement instruments and tools used to assess work motivation: standardized questionnaires (e.g., WEIMS, UWES), situational judgment tests, diaries measuring daily motivation, intervention toolkits, and observational coding schemes for motivational behavior at work.	Include validated questionnaires and measurement protocols that target motivational constructs in occupational settings, daily experience-sampling tools for motivation at work, and experimental paradigms designed to manipulate or assess motivation. Exclude instruments developed for school or clinical contexts unless explicitly adapted and validated for workplace use.
15758	job satisfaction	Measurement instruments for job satisfaction such as the Minnesota Satisfaction Questionnaire (MSQ), Job Descriptive Index (JDI), single-item global satisfaction measures, and survey modules used in employee studies.	Include validated scales and commonly used survey items that measure overall and facet job satisfaction, along with administration guidelines and scoring procedures. Exclude instruments unrelated to job satisfaction (e.g., general life satisfaction scales) unless tied explicitly to the job domain.
15423	jugendliche	Instruments and tools for researching adolescents: youth questionnaires, standardized screening instruments (SDQ, CES-DC), school survey instruments, developmental assessment tools, and protocols for interviewing minors (parental consent procedures).	Include age-appropriate validated instruments and survey modules tailored to adolescents, tools for assessing mental and physical health, and instruments for educational and social behavior research. Exclude adult-focused instruments unless validated for adolescent populations.
17369	kinder und jugendliche	Measurement tools used with children and adolescents: Child Behavior Checklist (CBCL), Strengths and Difficulties Questionnaire (SDQ), pediatric quality-of-life scales, developmental assessment batteries, school achievement tests, and consent/assent protocols.	Include validated, age-appropriate instruments and assessment protocols for children and adolescents, as well as survey modules designed for caregivers or schools. Exclude instruments validated only for adults or those unsuitable for minors without documented adaptation and validation.
6322	klima	Measurement and analytic instruments for climate science and social research on climate: meteorological sensors, remote sensing platforms, climate models, climate indices, survey instruments for climate attitudes, vulnerability/adaptation assessment tools.	Relevant instruments include weather stations, satellite sensors, ocean buoys, global/regional climate models (GCMs/RCMs), reanalysis products, standard climate indices (e.g., SPI, SPEI, Köppen classification), and validated survey questionnaires on climate attitudes and risk perception. Exclude general-purpose measurement tools with no explicit application to climate topics.
6370	klimawandel	Tools for studying climate change: attribution methods, earth system and integrated assessment models, emission calculators, vulnerability/resilience assessment frameworks, survey instruments measuring climate change perceptions and behavior, and decision-support tools for mitigation/adaptation.	Include climate models (GCMs/ESMs), statistical attribution techniques, IAMs, carbon footprint calculators, adaptation planning tools (e.g., climate risk assessments), and validated questionnaires on climate change beliefs and actions. Exclude tools with no explicit application to climate change research.
13621	kultur	Tools and instruments for cultural research: standardized survey modules on culture and identity, cultural participation questionnaires, ethnographic interview guides, coding schemes for qualitative cultural data, cultural policy evaluation frameworks, and cultural heritage inventories.	Include validated survey instruments measuring cultural engagement and values, structured interview guides for ethnography, content analysis coding schemes for cultural texts, and methodological toolkits for evaluating cultural policy and heritage. Exclude biomedical laboratory tools or instruments unrelated to humanities/social scientific study of culture.
21558	lernen am arbeit	Instruments for researching workplace learning: training evaluation tools, workplace learning questionnaires, competency assessments, observational protocols for workplace learning, employer survey modules, and tools for measuring informal learning and knowledge transfer.	Include standardized instruments for assessing training participation and outcomes, validated competency tests, interview guides and observation checklists for workplace learning episodes, and employer questionnaires on training provision. Exclude instruments designed solely for classroom education or for automated/machine learning evaluation.
21877	links rechts orientierung	Instruments for measuring left-right orientation: survey questions for ideological self-placement, battery of policy attitude items for scale construction, psychometric tools for dimensionality analysis, party position coding schemes, and Q-methodology protocols for ideological mapping.	Include standard left-right self-placement items, validated issue batteries to derive ideological scales, coding manuals for placing parties/manifestos on left-right spectra, and statistical tools (factor analysis, IRT) used to validate left-right measures. Exclude instruments not related to political ideology measurement.
4835	media	Measurement instruments and tools for media research: survey questionnaires, coding schemes for content analysis, media diaries, web-scraping and social media collection tools, platform APIs, and validated scales measuring media-related constructs.	Relevant instruments include validated survey items and scales for media exposure and media literacy, content analysis codebooks and intercoder reliability protocols, media diaries and experience sampling instruments, tools and scripts for collecting social media data (APIs, crawlers), sentiment and topic analysis pipelines, and methodological protocols for experimental media research. Include documentation, manuals, and codebooks that enable replication. Exclude instruments solely for biological media cultivation, manufacturing quality control, or hardware diagnostics unrelated to communication research.
22227	merkmale der arbeit	Instruments and tools to assess characteristics of work: job-content questionnaires, psychosocial risk scales, ergonomics checklists, workplace observation protocols, and occupational classification tools.	Include validated instruments such as the Job Content Questionnaire (JCQ), Effort-Reward Imbalance (ERI) scales, Copenhagen Psychosocial Questionnaire (COPSOQ), O*NET or ISCO-based task inventories, workplace hazard assessment checklists, time-use diaries, and structured job-analysis protocols. Also include measurement manuals, codebooks, and interviewer guides for assessing job attributes. Exclude tools unrelated to measuring job characteristics (e.g., general HR software without assessment modules) or instruments focused only on organizational performance without job-level measurement.
427	migration	Instruments and tools for migration research: survey modules and questionnaires capturing migration histories, migration registers, tracking protocols, qualitative interview guides, and coding schemes for legal statuses and reasons for migration.	Include standardized survey modules (e.g., migration history modules), census questions templates on place of birth and previous residence, administrative register schemas, interview guides for migrant experiences, protocols for longitudinal tracking and sampling of mobile populations, and classification tools for legal statuses and migrant typologies. Also include GIS and mobility-tracking tools used in migration studies. Exclude laboratory tools for biological migration or instruments not designed to measure human mobility and migration processes.
18263	mitarbeiter	Instruments and tools for employee research: staff survey questionnaires, HR information systems, performance appraisal instruments, employee engagement scales, exit interview protocols, and staff audit tools.	Include validated employee-focused instruments such as job satisfaction scales, engagement and commitment questionnaires, 360-degree feedback tools, performance appraisal forms, HR administrative data schemas, staff climate and culture surveys, and interview guides used in employee studies. Also include codebooks and manuals for employee datasets. Exclude general business software unrelated to measuring or researching employees and tools intended only for volunteer or collaborator tracking not tied to employment.
20775	mobilität	Instruments and tools for measuring mobility: travel survey questionnaires, GPS/smartphone logging apps, travel diary protocols, transport modeling software, accessibility calculators, and indicators for social mobility analysis.	Include standardized travel diary instruments, GPS and smartphone data collection tools, public transport smartcard data processing tools, origin-destination matrix construction protocols, transport demand and traffic simulation models, GIS tools for accessibility analysis, and survey modules for social mobility (e.g., parental occupation/education modules). Also include manuals, coding schemes, and data processing scripts specific to mobility research. Exclude laboratory instruments measuring molecular mobility or tools unrelated to human or social mobility measurement.
20969	motivation and mitarbeiter	Measurement instruments and protocols for assessing employee motivation and workplace engagement (questionnaires, interview guides, observational checklists).	Include validated instruments and tools used in organizational contexts such as the Utrecht Work Engagement Scale (UWES), Job Diagnostic Survey (JDS), Minnesota Satisfaction Questionnaire (MSQ), Work Extrinsic and Intrinsic Motivation Scale (WEIMS), organizational climate instruments, structured interview protocols for motivation, and workplace observation schemes. Include descriptions of administration, translation/validation for German contexts, and scoring. Exclude ad-hoc or single-item measures without validation unless clearly described as exploratory tools.
21258	motivation und lernen	Instruments and tools for measuring motivation in learning: questionnaires, observational protocols, learning analytics methods, and intervention materials.	Include validated scales such as the Academic Motivation Scale (AMS), Motivated Strategies for Learning Questionnaire (MSLQ), Goal Orientation Scales, self-regulated learning instruments, situational interest measures, and coding schemes for classroom motivation. Also include tools for measuring online engagement (clickstream, LMS logs), and instructional materials used in motivation interventions. Exclude instruments that do not measure motivational constructs or that are exclusively for non-learning applications.
21259	motivation und interesse	Measurement instruments and protocols for assessing interest and motivation: interest inventories, situational interest scales, curiosity measures, and complementary observational/analytics tools.	Include validated instruments such as the Situational Interest Scale, Personal Interest Questionnaires, Domain-specific interest inventories, Curiosity scales, and instruments that jointly measure motivation and interest (components of AMS, MSLQ subscales). Also include observational coding schemes and digital measures (e.g., attention/engagement trackers) used to operationalize interest. Exclude tools that measure only consumer preferences or market interest without psychological constructs.
7965	nutzung medien	Measurement instruments and tools for assessing media use: questionnaires, time-use diaries, passive digital tracking tools, and coding schemes for content and engagement.	Include validated media use questionnaires, standardized time-use diaries, app and browser logging tools, APIs and analytics methods for social media/platform data collection, and coding manuals for content classification and engagement metrics. Include protocols for ethical data collection and anonymization. Exclude purely network-management tools or content-production software that do not measure user consumption.
6939	online sport	Instruments and tools for studying online sport: fitness tracking devices, app/platform analytics, e-sports stat trackers, questionnaires on online exercise behavior, and intervention materials for virtual training.	Include wearable sensors and their data processing protocols, app analytics dashboards, APIs for platform data extraction, validated questionnaires on digital exercise behavior and adherence, performance tracking tools used in e-sports, and manuals for online coaching interventions. Also include methods for measuring user engagement in livestreams. Exclude measurement tools designed solely for in-person sport that have no online adaptation or data export capability.
7159	orientierung beruf	Questionnaires, standardized tests and program manuals used to assess vocational interests, career decision-making, and guidance interventions.	Include validated instruments and tools such as Self-Directed Search, Holland (RIASEC) inventories, Career Adapt-Abilities Scale, Career Decision-Making Self-Efficacy scales, vocational interest inventories, school/counseling program manuals, assessment batteries used in career guidance, and measurement protocols for tracking transitions. Include translation/adaptation documentation and scoring guides. Exclude instruments focused on unrelated constructs (spatial orientation or political orientation) and employer-only HR tools that do not assess individual vocational orientation.
11910	persönlichkeit	Standardized personality questionnaires, short-form scales, manuals, scoring keys and validation studies.	Include validated instruments such as NEO-PI-R/3, BFI/10/44, TIPI, IPIP scales, Eysenck inventories, personality disorder instruments, instrument manuals, translation/adaptation documentation, scoring algorithms and psychometric validation reports. Also include computerized assessment tools and coding schemes for personality data. Exclude ad hoc or single-item measures without validation and instruments solely measuring unrelated constructs (e.g., charisma as marketing term).
1168	political participation	Survey modules, validated scales and measurement tools used to assess political participation and civic engagement.	Include standardized questionnaire modules from major surveys (ESS, CSES, ANES, ISSP) measuring participation, indexes and scoring rules, experimental mobilization protocols, coding schemes for protest/event participation, and measurement guides for online political behavior. Include translation notes and administration protocols. Exclude tools that do not measure political activity or that are purely administrative (e.g., voter registration lists) without individual-level participation measures.
439	political efficacy	Question items, scales and measurement protocols for assessing political efficacy and related constructs.	Include validated efficacy items and scales used in ESS, ANES, CSES and other surveys, scale construction guides, psychometric validation studies, question-wording variants and translation notes, and experimental instruments manipulating perceived efficacy. Exclude instruments measuring non-political efficacy (e.g., health self-efficacy) unless adapted and validated for political contexts.
8932	political survey	Survey instruments, questionnaires, coding manuals and methodological toolkits for conducting political surveys.	Include full questionnaires and modules used in major political surveys (ESS, ANES, CSES, Eurobarometer), interviewer instructions, translation/adaptation files, sampling designs, weighting guides, question batteries for measuring ideology, turnout and party ID, and tools for questionnaire programming and fieldwork. Exclude non-survey tools (e.g., purely administrative election returns) and instruments not applicable to political survey research.
10109	politik	Survey instruments, questionnaires, coding manuals and measurement tools designed to capture political constructs: election study questionnaires, public opinion modules, manifestos coding schemes, scales for political trust, efficacy, ideology, and tools for political discourse/content analysis.	Include validated instruments and toolkits whose stated purpose is to measure political constructs (e.g., election study core questionnaires, public opinion batteries, party manifesto coding manuals, political efficacy and trust scales). Instruments must include item wording, response categories, and scoring or coding guidance. Exclude generic social science instruments with no explicit political content, single-item ad-hoc questions without documentation, or proprietary tools without accessible documentation.
9547	politik politisches verhalten	Measurement instruments and protocols for political behavior: validated turnout and participation survey items, behavioral experiment protocols, observational coding schemes for participation, neighborhood or social-network measurement tools for mobilization.	Include standardized questionnaires and experiment designs that elicit or measure political behavior (vote intention and verification modules, turnout validation methods, protest participation batteries, mobilization treatment scripts). Instruments should provide item wording, response options and, where applicable, protocols for validation (e.g., matching survey responses to official turnout records). Exclude attitudinal-only instruments or tools lacking operational details to identify behavior.
10059	politische bildung	Assessment tools and pedagogical instruments for political education: civic knowledge tests, competency frameworks (ICCS, PISA civics), classroom observation protocols, teacher questionnaires, curriculum mapping tools and program evaluation instruments.	Include validated tests and instruments designed to measure civic knowledge, skills and dispositions (item batteries, scoring rubrics, competency frameworks), as well as curriculum analysis tools and evaluation guides. Instruments should include item wording, scoring instructions and administration protocols. Exclude generic educational assessments without civic-specific content or undocumented ad-hoc quizzes.
10402	politische rechts links	Measurement instruments for ideological placement: left–right self-placement items, multi-item ideology scales, party positioning tools (manifesto coding manuals, expert survey instruments), and visual analog scales for ideological mapping.	Include standardized items and manuals used to measure left–right positioning (item wording for self-placement scales, CHES and Manifesto Project coding instructions, multi-dimensional ideology batteries). Instruments must provide response formats and coding conventions. Exclude informal or one-off items lacking documentation or tools that only infer ideology indirectly without explicit measurement procedures.
10407	politische kompetenz	Instruments to assess political competence: validated political knowledge question batteries, civic competence frameworks (ICCS, PISA civics), scoring rubrics for civic skills, vignette-based assessment tools and teacher/student questionnaires for competence evaluation.	Include well-documented instruments designed to measure political/civic competence, providing item wording, administration protocols and scoring rules (e.g., ICCS item banks, PISA civics instruments, political knowledge batteries used in election studies). Exclude ad-hoc quizzes without validation, or instruments that measure only peripheral skills not linked to civic competence.
10701	politische orientierung	Questionnaires, survey modules, coding schemes, and scales designed to measure political orientation, plus documentation for left–right placement items and index construction.	Relevant instruments include survey questionnaires and module templates including left–right self-placement items, partisan identification questions, ideological ladder items, and validated scales for measuring ideology. Include coding manuals and scoring algorithms for deriving orientation indices. Exclude instruments that do not capture individual political orientation (e.g., party program coding schemes without linkage to voter self-placement) and measurement tools focused exclusively on policy attitudes without orientation constructs.
2386	politische einstellung	Survey questionnaires, attitude batteries, validated scales, and coding guides for measuring political attitudes and indices.	Relevant instruments include standardized questionnaires and modules for measuring political attitudes (e.g., political trust batteries, democratic support scales, issue opinion items), methodological guides on scale validation and index construction, and translation/adaptation documentation. Exclude instruments unrelated to political opinion measurement (e.g., personality inventories unless explicitly linked to political attitude measurement).
565	politische partizipation	Survey instruments, turnout modules, civic engagement batteries, experimental protocols, and coding schemes designed to measure political participation and mobilization.	Relevant instruments include validated survey modules for measuring voting and non-voting participation, protest and petition items, civic engagement indices, field experiment protocols for mobilization, and tools for coding online participation. Include documentation on question wording, sampling, and measurement reliability. Exclude tools unrelated to measuring participation (e.g., institutional procedural manuals without behavioral measures).
6591	politische ideologien	Questionnaire modules, ideology scales, coding manuals for manifesto/text analysis, dictionaries for automated ideological content analysis, and validation studies.	Relevant instruments include validated scales for measuring ideological dimensions, survey items for ideological self-placement, coding schemes and manuals for party manifestos and speeches, and computational tools (dictionaries, supervised models) for detecting ideological content. Exclude instruments not designed to capture ideological content or those applicable only to non-political contexts.
8373	politische werte	Value inventories, survey modules, validated scales, and coding guides for measuring political and civic values, including translation/adaptation notes.	Relevant instruments include standardized question batteries for assessing political values (tolerance, democratic commitment, equality), psychometric validation studies, and coding manuals for constructing value scales. Include tools for cross-cultural harmonization of value measures. Exclude instruments that measure only personal or occupational values without political relevance.
8931	politische einstellung övp spö	Survey question wordings, interview modules, coding schemes, and experimental instruments designed to elicit attitudes toward ÖVP and SPÖ.	Include questionnaires, module items, standardized party-evaluation batteries, feeling-thermometer items, vignette texts, experimental manipulations, and coding manuals that explicitly ask about or code responses for ÖVP and SPÖ. Include translation notes where items are in German. Exclude instruments that do not target specific party evaluations or that only measure general political attitudes without party identification.
1112	politisches interesse	Survey question wordings, validated scales and modules used to measure political interest (e.g., ISSP modules, ESS items), and coding guides for interest measures.	Include standardized item wordings, multi-item scales and scoring instructions, module descriptions from large surveys (ISSP, ESS, Eurobarometer), and interviewer instructions for measuring political interest. Also include experimental prompts or diary instruments that assess attention to politics. Exclude tools that measure only knowledge, efficacy, or participation unless combined with explicit political interest items.
2630	politisches engagement	Question batteries, survey modules, validated participation scales, protest/event coding protocols, and measurement tools used to assess political engagement.	Include standard survey instruments (participation batteries in ESS, CSES, national election studies), coding schemes for protest involvement, diaries and online-activity trackers for digital engagement, and scoring instructions for participation indices. Also include experimental instruments aimed at mobilization. Exclude tools that measure organizational capacity without individual engagement items.
